TransactionID,TransactionDT,fe_time_rel_days,TransactionAmt,ProductCD,raw_model_prob,calibrated_prob,risk_band,decision,risk_score
3702072,19703467,227.04938657407405,78.571,C,0.99726844,1.0,4_CRITICAL,BLOCK,100.0
3702073,19703529,227.05010416666664,78.571,C,0.9976696,1.0,4_CRITICAL,BLOCK,100.0
3702076,19703620,227.0511574074074,78.571,C,0.99697024,1.0,4_CRITICAL,BLOCK,100.0
3702079,19703664,227.05166666666665,78.571,C,0.9968803,1.0,4_CRITICAL,BLOCK,100.0
3702080,19703704,227.0521296296296,78.571,C,0.9976163,1.0,4_CRITICAL,BLOCK,100.0
3702084,19703747,227.0526273148148,78.571,C,0.9970198,1.0,4_CRITICAL,BLOCK,100.0
3704679,19785115,227.99438657407407,200.0,R,0.9980118,1.0,4_CRITICAL,BLOCK,100.0
3704682,19785209,227.995474537037,200.0,R,0.99801683,1.0,4_CRITICAL,BLOCK,100.0
3711980,20025915,230.7814236111111,89.294,C,0.99756926,1.0,4_CRITICAL,BLOCK,100.0
3712312,20033440,230.8685185185185,107.897,C,0.99735934,1.0,4_CRITICAL,BLOCK,100.0
3712359,20034257,230.87797453703703,89.453,C,0.99687034,1.0,4_CRITICAL,BLOCK,100.0
3712363,20034302,230.87849537037036,89.453,C,0.996911,1.0,4_CRITICAL,BLOCK,100.0
3712365,20034442,230.88011574074073,107.897,C,0.9969654,1.0,4_CRITICAL,BLOCK,100.0
3712367,20034491,230.88068287037035,107.897,C,0.99687845,1.0,4_CRITICAL,BLOCK,100.0
3712398,20035340,230.89050925925926,107.897,C,0.99689674,1.0,4_CRITICAL,BLOCK,100.0
3712401,20035376,230.89092592592593,107.897,C,0.9972008,1.0,4_CRITICAL,BLOCK,100.0
3719372,20294024,233.88453703703703,200.0,R,0.9977017,1.0,4_CRITICAL,BLOCK,100.0
3719846,20306632,234.03046296296296,400.0,R,0.9976898,1.0,4_CRITICAL,BLOCK,100.0
3723941,20458737,235.79093749999998,450.0,R,0.9973501,1.0,4_CRITICAL,BLOCK,100.0
3724135,20463061,235.84098379629629,450.0,R,0.99743557,1.0,4_CRITICAL,BLOCK,100.0
3728857,20633892,237.81819444444443,200.0,R,0.99756515,1.0,4_CRITICAL,BLOCK,100.0
3728969,20636380,237.84699074074072,143.863,C,0.99711984,1.0,4_CRITICAL,BLOCK,100.0
3730185,20672254,238.26219907407406,70.702,C,0.99789023,1.0,4_CRITICAL,BLOCK,100.0
3730317,20690505,238.4734375,50.0,H,0.9979148,1.0,4_CRITICAL,BLOCK,100.0
3730428,20696283,238.5403125,350.0,R,0.9982859,1.0,4_CRITICAL,BLOCK,100.0
3730453,20697159,238.5504513888889,350.0,R,0.9977396,1.0,4_CRITICAL,BLOCK,100.0
3733846,20803947,239.7864236111111,143.863,C,0.9970012,1.0,4_CRITICAL,BLOCK,100.0
3733849,20803990,239.78692129629627,143.863,C,0.9969298,1.0,4_CRITICAL,BLOCK,100.0
3734682,20823739,240.01549768518518,44.235,C,0.9971982,1.0,4_CRITICAL,BLOCK,100.0
3734805,20827530,240.059375,44.235,C,0.99714553,1.0,4_CRITICAL,BLOCK,100.0
3734807,20827584,240.06,44.235,C,0.9975012,1.0,4_CRITICAL,BLOCK,100.0
3735090,20839450,240.19733796296296,44.235,C,0.99749047,1.0,4_CRITICAL,BLOCK,100.0
3735117,20841740,240.22384259259258,44.235,C,0.9969778,1.0,4_CRITICAL,BLOCK,100.0
3735118,20841821,240.22478009259257,44.235,C,0.997553,1.0,4_CRITICAL,BLOCK,100.0
3735119,20841853,240.22515046296294,44.235,C,0.9978038,1.0,4_CRITICAL,BLOCK,100.0
3735120,20841926,240.22599537037036,44.235,C,0.9980582,1.0,4_CRITICAL,BLOCK,100.0
3735124,20842344,240.23083333333332,200.0,R,0.9976748,1.0,4_CRITICAL,BLOCK,100.0
3735624,20883498,240.70715277777776,176.755,C,0.9978832,1.0,4_CRITICAL,BLOCK,100.0
3735629,20883545,240.70769675925925,176.755,C,0.99745286,1.0,4_CRITICAL,BLOCK,100.0
3735630,20883589,240.7082060185185,176.755,C,0.99780464,1.0,4_CRITICAL,BLOCK,100.0
3735634,20883629,240.70866898148148,176.755,C,0.9979055,1.0,4_CRITICAL,BLOCK,100.0
3735655,20883998,240.7129398148148,141.404,C,0.99820125,1.0,4_CRITICAL,BLOCK,100.0
3735656,20884046,240.71349537037037,141.404,C,0.99838763,1.0,4_CRITICAL,BLOCK,100.0
3735658,20884094,240.7140509259259,141.404,C,0.99733555,1.0,4_CRITICAL,BLOCK,100.0
3735856,20888681,240.7671412037037,68.12,C,0.9972506,1.0,4_CRITICAL,BLOCK,100.0
3735862,20888837,240.76894675925925,68.12,C,0.99673563,1.0,4_CRITICAL,BLOCK,100.0
3736050,20893718,240.8254398148148,68.12,C,0.997184,1.0,4_CRITICAL,BLOCK,100.0
3736051,20893767,240.82600694444443,68.12,C,0.9973735,1.0,4_CRITICAL,BLOCK,100.0
3736390,20901679,240.91758101851852,58.099,C,0.9973538,1.0,4_CRITICAL,BLOCK,100.0
3737250,20926710,241.20729166666666,20.411,C,0.99722236,1.0,4_CRITICAL,BLOCK,100.0
3737251,20926792,241.20824074074073,20.411,C,0.9974481,1.0,4_CRITICAL,BLOCK,100.0
3737284,20930177,241.24741898148147,20.411,C,0.9971124,1.0,4_CRITICAL,BLOCK,100.0
3737285,20930208,241.24777777777777,20.411,C,0.99726564,1.0,4_CRITICAL,BLOCK,100.0
3737292,20930814,241.25479166666665,20.411,C,0.9970926,1.0,4_CRITICAL,BLOCK,100.0
3737293,20930869,241.25542824074074,20.411,C,0.9970015,1.0,4_CRITICAL,BLOCK,100.0
3737294,20930912,241.2559259259259,20.411,C,0.9972506,1.0,4_CRITICAL,BLOCK,100.0
3737296,20931244,241.2597685185185,20.411,C,0.9970113,1.0,4_CRITICAL,BLOCK,100.0
3737305,20931766,241.26581018518516,20.411,C,0.9971279,1.0,4_CRITICAL,BLOCK,100.0
3737306,20931801,241.26621527777777,20.411,C,0.9973732,1.0,4_CRITICAL,BLOCK,100.0
3737307,20931857,241.26686342592592,20.411,C,0.9972074,1.0,4_CRITICAL,BLOCK,100.0
3738189,20973495,241.7487847222222,68.12,C,0.99759954,1.0,4_CRITICAL,BLOCK,100.0
3738247,20974714,241.7628935185185,68.12,C,0.99802434,1.0,4_CRITICAL,BLOCK,100.0
3738252,20974759,241.76341435185185,68.12,C,0.9984988,1.0,4_CRITICAL,BLOCK,100.0
3738255,20974803,241.7639236111111,68.12,C,0.9984785,1.0,4_CRITICAL,BLOCK,100.0
3738262,20974847,241.76443287037037,68.12,C,0.9984785,1.0,4_CRITICAL,BLOCK,100.0
3738269,20974910,241.76516203703702,68.12,C,0.99845314,1.0,4_CRITICAL,BLOCK,100.0
3738275,20974952,241.76564814814813,68.12,C,0.99849856,1.0,4_CRITICAL,BLOCK,100.0
3738280,20975005,241.76626157407406,68.12,C,0.9984813,1.0,4_CRITICAL,BLOCK,100.0
3738282,20975050,241.7667824074074,68.12,C,0.9984813,1.0,4_CRITICAL,BLOCK,100.0
3738384,20977039,241.78980324074072,40.331,C,0.99672425,1.0,4_CRITICAL,BLOCK,100.0
3739377,20997178,242.02289351851852,250.0,R,0.9978912,1.0,4_CRITICAL,BLOCK,100.0
3739395,20997585,242.02760416666666,250.0,R,0.9984195,1.0,4_CRITICAL,BLOCK,100.0
3739412,20997877,242.03098379629628,200.0,R,0.9985747,1.0,4_CRITICAL,BLOCK,100.0
3739662,21004791,242.11100694444443,20.104,C,0.99673027,1.0,4_CRITICAL,BLOCK,100.0
3739909,21018614,242.27099537037037,92.22,C,0.9967246,1.0,4_CRITICAL,BLOCK,100.0
3739912,21018816,242.2733333333333,92.22,C,0.99687564,1.0,4_CRITICAL,BLOCK,100.0
3745468,21171083,244.03568287037035,275.0,R,0.99798334,1.0,4_CRITICAL,BLOCK,100.0
3756384,21521321,248.0893634259259,99.106,C,0.9967446,1.0,4_CRITICAL,BLOCK,100.0
3756729,21540201,248.30788194444443,150.0,R,0.99775296,1.0,4_CRITICAL,BLOCK,100.0
3756730,21540381,248.30996527777776,150.0,R,0.9976054,1.0,4_CRITICAL,BLOCK,100.0
